rate_plan_id,utility_name,rate_plan_name,interval,start_time,end_time,price
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),0,2026-07-15T00:00:00.000Z,2026-07-15T01:00:00.000Z,0.5393
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),1,2026-07-15T01:00:00.000Z,2026-07-15T02:00:00.000Z,0.5393
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),2,2026-07-15T02:00:00.000Z,2026-07-15T03:00:00.000Z,0.5393
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),3,2026-07-15T03:00:00.000Z,2026-07-15T04:00:00.000Z,0.5393
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),4,2026-07-15T04:00:00.000Z,2026-07-15T05:00:00.000Z,0.5393
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),5,2026-07-15T05:00:00.000Z,2026-07-15T06:00:00.000Z,0.5393
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),6,2026-07-15T06:00:00.000Z,2026-07-15T07:00:00.000Z,0.5393
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),7,2026-07-15T07:00:00.000Z,2026-07-15T08:00:00.000Z,0.5393
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),8,2026-07-15T08:00:00.000Z,2026-07-15T09:00:00.000Z,0.5393
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),9,2026-07-15T09:00:00.000Z,2026-07-15T10:00:00.000Z,0.5393
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),10,2026-07-15T10:00:00.000Z,2026-07-15T11:00:00.000Z,0.5393
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),11,2026-07-15T11:00:00.000Z,2026-07-15T12:00:00.000Z,0.5393
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),12,2026-07-15T12:00:00.000Z,2026-07-15T13:00:00.000Z,0.5393
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),13,2026-07-15T13:00:00.000Z,2026-07-15T14:00:00.000Z,0.5393
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),14,2026-07-15T14:00:00.000Z,2026-07-15T15:00:00.000Z,0.5393
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),15,2026-07-15T15:00:00.000Z,2026-07-15T16:00:00.000Z,0.5393
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),16,2026-07-15T16:00:00.000Z,2026-07-15T17:00:00.000Z,0.4508
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),17,2026-07-15T17:00:00.000Z,2026-07-15T18:00:00.000Z,0.4508
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),18,2026-07-15T18:00:00.000Z,2026-07-15T19:00:00.000Z,0.4508
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),19,2026-07-15T19:00:00.000Z,2026-07-15T20:00:00.000Z,0.4508
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),20,2026-07-15T20:00:00.000Z,2026-07-15T21:00:00.000Z,0.4508
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),21,2026-07-15T21:00:00.000Z,2026-07-15T22:00:00.000Z,0.5393
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),22,2026-07-15T22:00:00.000Z,2026-07-15T23:00:00.000Z,0.5393
691623d324a3ba28ef331fc1,Pacific Gas & Electric Co,E-TOU-C Residential Time of Use Baseline Region Y (All Electric Service),23,2026-07-15T23:00:00.000Z,2026-07-16T00:00:00.000Z,0.5393
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,0,2026-07-15T00:00:00.000Z,2026-07-15T01:00:00.000Z,0.37
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,1,2026-07-15T01:00:00.000Z,2026-07-15T02:00:00.000Z,0.37
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,2,2026-07-15T02:00:00.000Z,2026-07-15T03:00:00.000Z,0.37
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,3,2026-07-15T03:00:00.000Z,2026-07-15T04:00:00.000Z,0.37
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,4,2026-07-15T04:00:00.000Z,2026-07-15T05:00:00.000Z,0.37
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,5,2026-07-15T05:00:00.000Z,2026-07-15T06:00:00.000Z,0.37
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,6,2026-07-15T06:00:00.000Z,2026-07-15T07:00:00.000Z,0.37
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,7,2026-07-15T07:00:00.000Z,2026-07-15T08:00:00.000Z,0.37
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,8,2026-07-15T08:00:00.000Z,2026-07-15T09:00:00.000Z,0.37
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,9,2026-07-15T09:00:00.000Z,2026-07-15T10:00:00.000Z,0.37
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,10,2026-07-15T10:00:00.000Z,2026-07-15T11:00:00.000Z,0.37
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,11,2026-07-15T11:00:00.000Z,2026-07-15T12:00:00.000Z,0.37
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,12,2026-07-15T12:00:00.000Z,2026-07-15T13:00:00.000Z,0.37
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,13,2026-07-15T13:00:00.000Z,2026-07-15T14:00:00.000Z,0.37
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,14,2026-07-15T14:00:00.000Z,2026-07-15T15:00:00.000Z,0.37
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,15,2026-07-15T15:00:00.000Z,2026-07-15T16:00:00.000Z,0.37
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,16,2026-07-15T16:00:00.000Z,2026-07-15T17:00:00.000Z,0.37
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,17,2026-07-15T17:00:00.000Z,2026-07-15T18:00:00.000Z,0.74
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,18,2026-07-15T18:00:00.000Z,2026-07-15T19:00:00.000Z,0.74
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,19,2026-07-15T19:00:00.000Z,2026-07-15T20:00:00.000Z,0.74
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,20,2026-07-15T20:00:00.000Z,2026-07-15T21:00:00.000Z,0.37
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,21,2026-07-15T21:00:00.000Z,2026-07-15T22:00:00.000Z,0.37
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,22,2026-07-15T22:00:00.000Z,2026-07-15T23:00:00.000Z,0.37
6915de60881cbc6041e4c90f,Southern California Edison,TOU-D-5-8PM,23,2026-07-15T23:00:00.000Z,2026-07-16T00:00:00.000Z,0.37
6915de54881cbc6041e4c8dd,San Diego Gas & Electric Co,TOU-DR1 - Residential Time of Use,0,2026-07-15T00:00:00.000Z,2026-07-15T01:00:00.000Z,0.375
6915de54881cbc6041e4c8dd,San Diego Gas & Electric Co,TOU-DR1 - Residential Time of Use,1,2026-07-15T01:00:00.000Z,2026-07-15T02:00:00.000Z,0.375
6915de54881cbc6041e4c8dd,San Diego Gas & Electric Co,TOU-DR1 - Residential Time of Use,2,2026-07-15T02:00:00.000Z,2026-07-15T03:00:00.000Z,0.375
6915de54881cbc6041e4c8dd,San Diego Gas & Electric Co,TOU-DR1 - Residential Time of Use,3,2026-07-15T03:00:00.000Z,2026-07-15T04:00:00.000Z,0.375
6915de54881cbc6041e4c8dd,San Diego Gas & Electric Co,TOU-DR1 - Residential Time of Use,4,2026-07-15T04:00:00.000Z,2026-07-15T05:00:00.000Z,0.375
6915de54881cbc6041e4c8dd,San Diego Gas & Electric Co,TOU-DR1 - Residential Time of Use,5,2026-07-15T05:00:00.000Z,2026-07-15T06:00:00.000Z,0.375
6915de54881cbc6041e4c8dd,San Diego Gas & Electric Co,TOU-DR1 - Residential Time of Use,6,2026-07-15T06:00:00.000Z,2026-07-15T07:00:00.000Z,0.393
6915de54881cbc6041e4c8dd,San Diego Gas & Electric Co,TOU-DR1 - Residential Time of Use,7,2026-07-15T07:00:00.000Z,2026-07-15T08:00:00.000Z,0.393
6915de54881cbc6041e4c8dd,San Diego Gas & Electric Co,TOU-DR1 - Residential Time of Use,8,2026-07-15T08:00:00.000Z,2026-07-15T09:00:00.000Z,0.393
6915de54881cbc6041e4c8dd,San Diego Gas & Electric Co,TOU-DR1 - Residential Time of Use,9,2026-07-15T09:00:00.000Z,2026-07-15T10:00:00.000Z,0.393
6915de54881cbc6041e4c8dd,San Diego Gas & Electric Co,TOU-DR1 - Residential Time of Use,10,2026-07-15T10:00:00.000Z,2026-07-15T11:00:00.000Z,0.393
6915de54881cbc6041e4c8dd,San Diego Gas & Electric Co,TOU-DR1 - Residential Time of Use,11,2026-07-15T11:00:00.000Z,2026-07-15T12:00:00.000Z,0.393
6915de54881cbc6041e4c8dd,San Diego Gas & Electric Co,TOU-DR1 - Residential Time of Use,12,2026-07-15T12:00:00.000Z,2026-07-15T13:00:00.000Z,0.393
6915de54881cbc6041e4c8dd,San Diego Gas & Electric Co,TOU-DR1 - Residential Time of Use,13,2026-07-15T13:00:00.000Z,2026-07-15T14:00:00.000Z,0.393
6915de54881cbc6041e4c8dd,San Diego Gas & Electric Co,TOU-DR1 - Residential Time of Use,14,2026-07-15T14:00:00.000Z,2026-07-15T15:00:00.000Z,0.393
6915de54881cbc6041e4c8dd,San Diego Gas & Electric Co,TOU-DR1 - Residential Time of Use,15,2026-07-15T15:00:00.000Z,2026-07-15T16:00:00.000Z,0.393
6915de54881cbc6041e4c8dd,San Diego Gas & Electric Co,TOU-DR1 - Residential Time of Use,16,2026-07-15T16:00:00.000Z,2026-07-15T17:00:00.000Z,0.458
6915de54881cbc6041e4c8dd,San Diego Gas & Electric Co,TOU-DR1 - Residential Time of Use,17,2026-07-15T17:00:00.000Z,2026-07-15T18:00:00.000Z,0.458
6915de54881cbc6041e4c8dd,San Diego Gas & Electric Co,TOU-DR1 - Residential Time of Use,18,2026-07-15T18:00:00.000Z,2026-07-15T19:00:00.000Z,0.458
